nom_produit,ancien_prix,nouveau_prix
SPEAKER BLUETOOTH CHM09B,9000,
SPEAKER BLUETOOTH MP3 +FM  CHM12/CHM11,9000,
SPEAKER BAFFLE BLUETOOTH CH-M33,7500,
SPEAKER BAFFLE BLUETOOTH CH-M40,10000,
SPEAKER BLUETOOTH RADIO MP3 CH-M41 / CH-M09A,3500,
HI-FI BAFLE SPEAKER BT+MP3 TROLLEY + MIC CH-T85,12000,
HI-FI BAFLE SPEAKER BLUETOOTH CH-V4202 / CH-V4201,7500,
HOME CINEMA LG CM-5660,170000,
COV BAFLE SPEAKER +MP3+BT  CV-360 S,20000,
C&Y WOOFER 3.1 CY-A631,27000,
C&Y BAFLE WOOFER 3.1 A68 /A66,20000,
C&Y WOOFER 3.1 CY-A75,20000,
C&Y WOOFER 3.1 CY-A93,20000,
C&Y WOOFER 3.1 CY-A95,20000,
BAFLE ORDINATEUR WOODEN SPEAKER D-09/D-092,2500,
BAFFLE ORDINATEUR SPEAKER D10,2000,
"W-604 BAFFLE DG-1052/DG-1053 /DG-1051+ MICRO/ BIG SOUND 6.5""",6500,
"W-604 BAFFLE DG-1052 / DG-1053 /DG-1051 / BIG SOUND 6.5""",6250,
MINI CHAINE LG DH-4530,110000,
SPEAKER BAFLE +BLUETOOTH DJ010,50000,
SPEAKER BLUETOOTH DJ1503,21000,
BAFFLE DJ210B,55000,
BAFFLE SPEAKER PAIR DJ-2813 / 2808,100000,
SPEAKER BLUETOOTH DJ403,21000,
BAFFLE HOME CINEMA DJACK DJ-5L,65000,
SPEAKER BLUETOOTHDJ602,27000,
QSONIC SPAEKER WOOFER 3.1 DJ-6335,19000,
QSONIC SPAEKER WOOFER 3.1 DJ-6350 / DJ-6351 AC/DC,20000,
SPEAKER BLUETOOTH DJE3,21000,
SPEAKER BAFLE +BLUETOOTH DK10,50000,
BAFFLE SPEAKER PAIR DK-210 / 210A,100000,
NEWSTAR BAFLE WOOFER 5.1 DM-3708BT,50000,
XCL SPEAKER DM-5026,30000,
SPEAKER BAFLE +BLUETOOTH DM5360 LG,90000,
TROLLEY BAFFLE SPEAKER BLUETOOTH DM-DJI12,85000,
"PORTABLE SPEAKER BAFFLE 12"" DS-1203 / POWER 2000W",22500,
SPEAKER BLUETOOTH MP3 DV-08,2750,
SPEAKER BLUETOOTH CHARGE-23 / E23,3500,
SPEAKER BLUETOOTH E23/ L2 / LONGUE,3750,
E-LEGEND BAFFLE BLUETOOTH WOOFER 2.1 FASTER E50W,27500,
SPEAKER BLUETOOTH SPORT MUSIC E816,4250,
FEIYIPU BAFLE SPEAKER ES-2801,30000,
BAFFLE F30DT AC/DC+ BT,12000,
BAFFLE F320DC,12000,
SPEAKER BAFLE +BLUETOOTH F90A,110000,
FAWS SPEAKER PARTY RECHARGEABLE FAWS-SJ2601,22500,
BIG BASS BAFFLE BLUETOOTH SPEAKER FD-3/FD-2,2000,
FUHAO SPEAKER FH-A12 +BT,30000,
FUHAO BAFFLE WOOFER FHB-15,60000,
BAFLE ORDINATEUR 2IN1 FT-108 / FT-102 / FT-101,2500,
SPEAKER BLUETOOTH WIRELESS GIBOX G006/ G007,3000,
SPEAKER BLUETOOTH WIRELESS GIBOX G008,4250,
BAFFLE GL9163,11000,
GOLDYIP BAFFLE BLUETOOTH GL-9164,11000,
SPEAKER BAFLE +BLUETOOTH GM10 GMT10,55000,
BAFFLE BAFFLE GY990BT,25000,
SPEAKER BLUETOOTH WIRELESS H6,4000,
SPEAKER BAFLE +BLUETOOTH H919/H909,75000,
AILIANG LIGE SPEAKER BT MP3 HB-1715/ UF-1716,30000,
SAMSOUND BAFLE WOOFER 2.1 LONG HD-872MBT,40000,
SPEAKER BLUETOOTH HDY028,2000,
BAFFLE ORDINATEUR HOTMAI SPEAKER HN-88 /,2000,
BAFLE ORDINATEUR D010 / M010,2500,
HERO SPEAKER BAFLE PAIRE +MP3 HR-15500,17500,
HERO SPEAKER BAFLE PAIRE +MP3 HR-17400BL,25000,
SPEAKER BLUETOOTH WIRELESS HS-211,3500,
HANSEN SPAEKER WOOFER 3.1 HS-Q5,19000,
BAFLE ORDINATEUR HOTMAI SPEAKER HT-09/HT-09A,2500,
BAFFLE ORDINATEUR MIRACLE POWER SPEAKER+BT HT-100,10000,
BAFLE ORDINATEUR HOTMAI SPEAKER HT-163,3000,
BAFFLE ORDINATEUR HOTMAI SPEAKER HT-165,2750,
BAFLE ORDINATEUR SPEAKER HT-207,2000,
BAFFLE ORDINATEUR HOTMAI SPEAKER HT-208,1500,
